case_id,received_at,client_segment,jurisdiction,service_line,claim_value_band,attachments_present,free_text_summary,handler_notes,historical_outcome
C-00045,2024-11-07T15:51:40+00:00,Enterprise,Other,Insurance,<50k,false,Damage reported following heavy rainfall. Theft of equipment reported.,,Unknown
C-00046,2024-11-24T14:21:17+00:00,SMB,,Legal,>1m,true,Potential breach of contract raised. Governing law unclear. breach of contract.,Duplicate of earlier report suspected.,Escalated
C-00047,2024-11-08T20:51:55+00:00,SMB,EU,Advisory,250k-1m,false,Client requesting advice on regulatory exposure. No immediate dispute. governing law unclear. No policy documents attached.,No additional notes.,Unknown
C-00048,2024-10-11T15:21:31+00:00,Mid-Market,UK,Insurance,50k-250k,false,Incident reported at commercial premises. Roof compromised. No supporting documentation provided.,,Rejected
C-00049,2024-10-04T13:49:38+00:00,Enterprise,UK,Insurance,50k-250k,true,Incident reported at commercial premises. Roof compromised. breach of contract.,Handler flagged missing attachments. Check coverage exclusions.,Escalated
C-00050,2024-11-06T11:32:13+00:00,SMB,EU,,250k-1m,true,Strategic risk review requested following acquisition. Regulator engagement anticipated. flood zone 3.,Handler flagged missing attachments. Clarify scope and deliverables.,Escalated
C-00051,2024-12-26T22:45:54+00:00,SMB,UK,Legal,50k-250k,true,Potential breach of contract raised. Jurisdiction disputed. flood zone 3. Policy schedule attached.,Duplicate of earlier report suspected.,Unknown
C-00052,2024-12-24T14:14:33+00:00,Enterprise,UK,Insurance,<50k,false,Client reports storm-related damage. Fire damage to warehouse. Cross-border considerations likely.,Handler flagged missing attachments.,Unknown
C-00053,2024-11-23T11:44:36+00:00,SMB,UK,Insurance,250k-1m,true,Incident reported at commercial premises. Roof compromised. storm damage.,Client requested urgent callback. Check coverage exclusions.,Rejected
C-00054,2024-10-11T05:19:26+00:00,SMB,US,Insurance,50k-250k,true,Client reports storm-related damage. Roof compromised. Police reference number provided.,,Settled
C-00055,2024-10-19T15:14:44+00:00,Enterprise,US,Insurance,<50k,false,Loss event impacting property and contents. Water ingress noted. Evidence not yet supplied.,Duplicate of earlier report suspected.,Rejected
C-00056,2024-10-03T14:41:14+00:00,SMB,EU,Insurance,>1m,true,Damage reported following heavy rainfall. Basement affected. Supporting documents attached.,Caller sounded uncertain; follow-up likely required.,Unknown
C-00057,2024-12-31T16:26:18+00:00,Mid-Market,US,Insurance,250k-1m,false,Loss event impacting property and contents. Basement affected. subsidence. No supporting documentation provided.,No additional notes.,Unknown
C-00058,2024-12-13T18:35:00+00:00,SMB,UK,Insurance,>1m,true,Client reports storm-related damage. Water ingress noted.,Caller sounded uncertain; follow-up likely required.,Unknown
C-00059,2024-10-20T14:46:33+00:00,Enterprise,UK,Advisory,<50k,true,Strategic risk review requested following acquisition. No immediate dispute. low value. Supporting documents attached.,,Unknown
C-00060,2024-11-30T23:11:17+00:00,Mid-Market,UK,Legal,50k-250k,false,Formal letter received from counterparty. Governing law unclear. storm damage.,Client requested urgent callback. Consider limitation periods.,Accepted
C-00061,2024-11-01T17:10:24+00:00,SMB,US,Legal,50k-250k,true,Employment dispute raised by former contractor. Jurisdiction disputed. Police reference number provided. Overseas elements present.,Client requested urgent callback.,Unknown
C-00062,2024-11-20T16:45:52+00:00,Mid-Market,UK,Insurance,<50k,true,Client reports storm-related damage. Roof compromised. minor. Policy schedule attached. Cross-border considerations likely.,Client requested urgent callback.,Unknown
C-00063,2024-11-18T14:13:05+00:00,SMB,UK,Insurance,250k-1m,true,Client reports storm-related damage. Fire damage to warehouse. regulator visit.,Handler flagged missing attachments.,Escalated
C-00064,2024-10-26T05:23:48+00:00,Mid-Market,UK,Insurance,<50k,true,Damage reported following heavy rainfall. Fire damage to warehouse. low value.,Handler flagged missing attachments.,Settled
C-00065,2024-12-09T12:54:15+00:00,Mid-Market,US,Insurance,<50k,true,Incident reported at commercial premises. Theft of equipment reported. no supporting documentation. Supporting documents attached.,Handler flagged missing attachments.,Settled
C-00066,2024-10-06T23:18:51+00:00,Mid-Market,EU,Legal,<50k,true,Potential breach of contract raised. Multiple parties named. low value.,Duplicate of earlier report suspected.,Unknown
C-00067,2024-11-24T13:40:49+00:00,SMB,US,,50k-250k,true,Request for compliance gap analysis. Timeline not specified. storm damage. Police reference number provided.,"Potential conflict in dates, needs review. Clarify scope and deliverables.",Unknown
C-00068,2024-11-11T14:27:42+00:00,Mid-Market,UK,Insurance,<50k,true,Business interruption may apply. Basement affected. Police reference number provided.,,Rejected
C-00069,2024-12-16T04:54:54+00:00,Mid-Market,EU,Advisory,<50k,true,Request for compliance gap analysis. Timeline not specified. Cross-border considerations likely.,Handler flagged missing attachments.,Unknown
C-00070,2024-10-14T12:40:54+00:00,SMB,US,Legal,<50k,true,IP infringement allegation received. Time-sensitive response required. Supporting documents attached.,No additional notes. Consider limitation periods.,Escalated
C-00071,2024-10-03T18:28:42+00:00,SMB,Other,Insurance,50k-250k,false,Damage reported following heavy rainfall. Theft of equipment reported. ip infringement. Overseas elements present.,,Unknown
C-00072,2024-10-06T02:50:49+00:00,Mid-Market,US,Insurance,<50k,true,Client reports storm-related damage. Water ingress noted. low value. Police reference number provided.,,Unknown
C-00073,2024-10-30T03:59:51+00:00,SMB,US,Advisory,50k-250k,true,Client requesting advice on regulatory exposure. No immediate dispute. business interruption.,Handler flagged missing attachments. Clarify scope and deliverables.,Settled
C-00074,2024-10-10T18:25:42+00:00,Mid-Market,UK,Legal,250k-1m,true,Potential breach of contract raised. Governing law unclear. Police reference number provided.,Client requested urgent callback. Consider limitation periods.,Settled
C-00075,2024-12-06T00:25:41+00:00,Mid-Market,,Legal,50k-250k,true,IP infringement allegation received. Evidence currently limited.,No additional notes.,Accepted
C-00076,2024-11-25T05:50:31+00:00,Enterprise,UK,Insurance,50k-250k,true,Incident reported at commercial premises. Fire damage to warehouse. Policy schedule attached.,Caller sounded uncertain; follow-up likely required. Check coverage exclusions.,Escalated
C-00077,2024-11-07T18:18:58+00:00,SMB,UK,Advisory,50k-250k,false,Strategic risk review requested following acquisition. Scope unclear. No policy documents attached.,,Rejected
C-00078,2024-10-29T09:18:50+00:00,SMB,US,Advisory,250k-1m,true,Strategic risk review requested following acquisition. No immediate dispute.,Caller sounded uncertain; follow-up likely required.,Unknown
C-00079,2024-10-01T03:55:34+00:00,Mid-Market,EU,Advisory,250k-1m,true,Strategic risk review requested following acquisition. Scope unclear. fire.,Handler flagged missing attachments. Clarify scope and deliverables.,Escalated
C-00080,2024-10-23T17:20:04+00:00,SMB,UK,Insurance,250k-1m,true,Client reports storm-related damage. Theft of equipment reported. prior losses. Supporting documents attached. Conflicting information reported by client.,Handler flagged missing attachments. Check coverage exclusions.,Accepted
C-00081,2024-10-18T13:02:45+00:00,SMB,UK,Legal,<50k,true,Formal letter received from counterparty. Governing law unclear. Supporting documents attached. Overseas elements present.,Caller sounded uncertain; follow-up likely required. Consider limitation periods.,Unknown
C-00082,2024-12-15T15:38:46+00:00,Enterprise,US,Insurance,50k-250k,true,Client reports storm-related damage. Fire damage to warehouse. business interruption.,"Potential conflict in dates, needs review.",Unknown
C-00083,2024-12-29T12:46:34+00:00,SMB,US,Advisory,250k-1m,true,Client requesting advice on regulatory exposure. No immediate dispute. data protection incident.,,Accepted
C-00084,2024-12-11T19:19:28+00:00,Mid-Market,UK,Advisory,<50k,true,Operational risk assessment requested. No immediate dispute. small crack.,,Unknown
C-00085,2024-10-19T22:37:28+00:00,SMB,UK,Legal,<50k,false,Potential breach of contract raised. Jurisdiction disputed. Evidence not yet supplied.,Caller sounded uncertain; follow-up likely required.,Unknown
C-00086,2024-10-18T11:59:19+00:00,SMB,UK,Insurance,<50k,false,Loss event impacting property and contents. Theft of equipment reported. No supporting documentation provided.,,Rejected
C-00087,2024-10-28T18:58:17+00:00,SMB,US,Legal,<50k,true,Potential breach of contract raised. Governing law unclear.,Duplicate of earlier report suspected. Consider limitation periods.,Unknown
C-00088,2024-12-20T19:16:14+00:00,SMB,US,Insurance,<50k,true,Business interruption may apply. Water ingress noted. low value. Loss adjuster appointed. Cross-border considerations likely.,,Unknown
C-00089,2024-11-26T14:19:57+00:00,SMB,UK,Legal,250k-1m,false,Formal letter received from counterparty. Jurisdiction disputed. storm damage. Evidence not yet supplied.,No additional notes.,Unknown
C-00090,2024-11-06T00:52:40+00:00,SMB,UK,Advisory,<50k,true,Client seeks decision support on risk controls. Regulator engagement anticipated. Loss adjuster appointed.,Client requested urgent callback.,Settled
C-00091,2024-10-09T14:25:14+00:00,SMB,UK,Advisory,<50k,true,Request for compliance gap analysis. Regulator engagement anticipated. wear and tear. Policy schedule attached. Cross-border considerations likely.,No additional notes.,Accepted
C-00092,2024-11-09T09:14:03+00:00,SMB,UK,Insurance,<50k,true,Incident reported at commercial premises. Theft of equipment reported. Cross-border considerations likely.,Caller sounded uncertain; follow-up likely required.,Unknown
C-00093,2024-11-12T06:58:45+00:00,Enterprise,US,Insurance,<50k,true,Business interruption may apply. Water ingress noted. Cross-border considerations likely.,,Unknown
C-00094,2024-11-14T01:16:14+00:00,Mid-Market,UK,Insurance,50k-250k,false,Damage reported following heavy rainfall. Basement affected. breach of contract.,Caller sounded uncertain; follow-up likely required. Check coverage exclusions.,Unknown
C-00095,2024-10-27T01:26:39+00:00,Mid-Market,UK,Legal,Unknown,true,Potential breach of contract raised. Time-sensitive response required.,,Unknown
C-00096,2024-11-23T05:00:06+00:00,Mid-Market,EU,Insurance,250k-1m,true,Client reports storm-related damage. Theft of equipment reported. injunction. Police reference number provided. Cross-border considerations likely.,Client requested urgent callback. Check coverage exclusions.,Unknown
C-00097,2024-11-03T18:53:12+00:00,SMB,UK,Insurance,50k-250k,false,Loss event impacting property and contents. Basement affected. business interruption. No supporting documentation provided.,Duplicate of earlier report suspected.,Accepted
C-00098,2024-12-08T19:02:45+00:00,Mid-Market,US,Legal,50k-250k,false,Dispute escalated to legal threat. Time-sensitive response required. Evidence not yet supplied.,,Accepted
C-00099,2024-10-01T15:45:23+00:00,SMB,UK,Insurance,50k-250k,false,Loss event impacting property and contents. Fire damage to warehouse. prior losses. No supporting documentation provided.,Client requested urgent callback.,Settled
C-00100,2024-12-15T02:20:33+00:00,SMB,UK,Legal,50k-250k,false,Formal letter received from counterparty. Evidence currently limited. Evidence not yet supplied.,No additional notes.,Escalated
C-00101,2024-11-12T17:39:18+00:00,Mid-Market,EU,Advisory,Unknown,true,Client seeks decision support on risk controls. Regulator engagement anticipated. no supporting documentation. Overseas elements present.,Handler flagged missing attachments. Clarify scope and deliverables.,Unknown
C-00102,2024-12-26T17:10:11+00:00,Enterprise,EU,Insurance,250k-1m,true,Incident reported at commercial premises. Fire damage to warehouse. arson. Policy schedule attached. Conflicting information reported by client.,,Accepted
C-00103,2024-11-25T18:36:24+00:00,Mid-Market,UK,Legal,50k-250k,false,Dispute escalated to legal threat. Time-sensitive response required. Evidence not yet supplied.,Handler flagged missing attachments.,Unknown
C-00104,2024-12-01T00:58:23+00:00,Mid-Market,UK,Insurance,<50k,true,Damage reported following heavy rainfall. Theft of equipment reported. minor. Loss adjuster appointed. Jurisdiction noted as UK.,,Unknown
C-00105,2024-12-26T02:28:16+00:00,SMB,US,Insurance,50k-250k,true,Loss event impacting property and contents. Basement affected. storm damage.,,Unknown
C-00106,2024-11-09T03:30:53+00:00,SMB,EU,Insurance,50k-250k,true,Damage reported following heavy rainfall. Basement affected. ip infringement.,,Unknown
C-00107,2024-10-16T11:00:50+00:00,Mid-Market,UK,Insurance,250k-1m,false,Client reports storm-related damage. Water ingress noted. prior losses. Evidence not yet supplied. Overseas elements present.,"Potential conflict in dates, needs review.",Accepted
C-00108,2024-12-22T16:58:19+00:00,SMB,UK,Legal,50k-250k,true,Formal letter received from counterparty. Time-sensitive response required. prior losses. Loss adjuster appointed.,,Accepted
C-00109,2024-11-09T03:56:21+00:00,SMB,UK,Insurance,250k-1m,true,Loss event impacting property and contents. Roof compromised. Police reference number provided.,No additional notes.,Accepted
C-00110,2024-11-29T01:58:36+00:00,SMB,EU,Insurance,50k-250k,true,Incident reported at commercial premises. Fire damage to warehouse. breach of contract. Policy schedule attached.,"Potential conflict in dates, needs review.",Unknown
C-00111,2024-12-22T22:18:29+00:00,SMB,US,Legal,<50k,true,Employment dispute raised by former contractor. Evidence currently limited.,,Accepted
C-00112,2024-12-11T17:05:15+00:00,SMB,Other,Insurance,>1m,true,Loss event impacting property and contents. Theft of equipment reported. subsidence. Supporting documents attached.,Handler flagged missing attachments. Check coverage exclusions.,Accepted
C-00113,2024-12-08T15:21:57+00:00,SMB,UK,Insurance,<50k,true,Loss event impacting property and contents. Fire damage to warehouse. minor. Loss adjuster appointed. Cross-border considerations likely.,,Accepted
C-00114,2024-12-07T00:07:14+00:00,SMB,Other,Advisory,50k-250k,true,Strategic risk review requested following acquisition. No immediate dispute. governing law unclear. Police reference number provided.,"Potential conflict in dates, needs review.",Unknown
C-00115,2024-11-24T17:24:27+00:00,Enterprise,US,Insurance,250k-1m,false,Client reports storm-related damage. Basement affected.,Caller sounded uncertain; follow-up likely required.,Escalated
C-00116,2024-12-01T22:52:58+00:00,SMB,US,Advisory,<50k,true,Client seeks decision support on risk controls. Timeline not specified. small crack.,Client requested urgent callback. Clarify scope and deliverables.,Accepted
C-00117,2024-11-11T01:36:53+00:00,Enterprise,Other,Insurance,<50k,true,Loss event impacting property and contents. Roof compromised.,,Unknown
C-00118,2024-10-28T12:02:09+00:00,SMB,US,Advisory,250k-1m,true,Client requesting advice on regulatory exposure. No immediate dispute. governing law unclear. Jurisdiction noted as US.,,Escalated
C-00119,2024-11-08T23:15:10+00:00,SMB,UK,Insurance,50k-250k,true,Business interruption may apply. Theft of equipment reported. flood zone 3.,Client requested urgent callback.,Unknown
C-00120,2024-11-06T02:50:45+00:00,SMB,EU,Insurance,<50k,false,Business interruption may apply. Theft of equipment reported. No supporting documentation provided.,,Rejected
C-00121,2024-11-19T19:48:22+00:00,SMB,EU,Insurance,50k-250k,true,Business interruption may apply. Theft of equipment reported. storm damage.,Caller sounded uncertain; follow-up likely required.,Accepted
C-00122,2024-11-09T06:13:08+00:00,SMB,UK,Insurance,<50k,false,Incident reported at commercial premises. Basement affected. wear and tear.,Caller sounded uncertain; follow-up likely required.,Accepted
C-00123,2024-11-06T05:11:12+00:00,SMB,US,Legal,250k-1m,true,Employment dispute raised by former contractor. Evidence currently limited. Cross-border considerations likely.,Handler flagged missing attachments. Consider limitation periods.,Accepted
C-00124,2024-10-18T23:42:27+00:00,Mid-Market,UK,Insurance,<50k,false,Incident reported at commercial premises. Theft of equipment reported.,,Unknown
C-00125,2024-12-02T14:13:42+00:00,SMB,UK,Advisory,<50k,false,Client seeks decision support on risk controls. Stakeholders across multiple regions.,,Unknown
C-00126,2024-11-04T08:08:22+00:00,SMB,UK,Insurance,50k-250k,true,Client reports storm-related damage. Basement affected. business interruption. Policy schedule attached. Cross-border considerations likely.,,Accepted
C-00127,2024-11-11T09:14:20+00:00,Mid-Market,US,Advisory,<50k,true,Client seeks decision support on risk controls. No immediate dispute. small crack. Jurisdiction noted as US.,No additional notes.,Unknown
C-00128,2024-12-26T19:38:15+00:00,Mid-Market,EU,Advisory,250k-1m,true,Request for compliance gap analysis. Timeline not specified. Supporting documents attached. Cross-border considerations likely.,Client requested urgent callback.,Unknown
C-00129,2024-11-26T18:58:09+00:00,Mid-Market,Other,Insurance,<50k,false,Incident reported at commercial premises. Water ingress noted.,,Unknown
C-00130,2024-12-26T16:27:56+00:00,Mid-Market,UK,Insurance,<50k,true,Business interruption may apply. Water ingress noted. Cross-border considerations likely.,Caller sounded uncertain; follow-up likely required.,Unknown
C-00131,2024-12-12T18:03:08+00:00,Enterprise,EU,Advisory,<50k,true,Client requesting advice on regulatory exposure. Stakeholders across multiple regions. small crack. Loss adjuster appointed.,Handler flagged missing attachments.,Accepted
C-00132,2024-10-21T10:27:31+00:00,SMB,EU,Advisory,<50k,true,Request for compliance gap analysis. Regulator engagement anticipated. Police reference number provided.,No additional notes.,Unknown
C-00133,2024-11-24T07:15:48+00:00,SMB,EU,Legal,50k-250k,false,Formal letter received from counterparty. Governing law unclear. breach of contract. No supporting documentation provided.,,Accepted
C-00134,2024-10-15T11:55:48+00:00,SMB,EU,Insurance,>1m,true,Incident reported at commercial premises. Roof compromised. flood zone. Overseas elements present.,,Accepted
C-00135,2024-12-29T05:43:38+00:00,SMB,US,Insurance,50k-250k,true,Loss event impacting property and contents. Roof compromised. flood zone 3. Loss adjuster appointed. Overseas elements present.,Client requested urgent callback.,Rejected
C-00136,2024-12-24T16:08:30+00:00,Enterprise,UK,Insurance,<50k,true,Incident reported at commercial premises. Roof compromised. no supporting documentation.,No additional notes.,Accepted
C-00137,2024-10-15T15:23:43+00:00,SMB,UK,Advisory,<50k,false,Client seeks decision support on risk controls. Scope unclear. minor. No policy documents attached. Overseas elements present.,,Unknown
C-00138,2024-12-26T19:11:18+00:00,SMB,UK,Insurance,<50k,true,Client reports storm-related damage. Basement affected. Loss adjuster appointed. Conflicting information reported by client.,Handler flagged missing attachments. Check coverage exclusions.,Accepted
C-00139,2024-10-27T12:04:22+00:00,SMB,UK,Advisory,>1m,true,Request for compliance gap analysis. No immediate dispute. suspected arson. Jurisdiction noted as UK.,,Escalated
C-00140,2024-10-15T16:24:22+00:00,Mid-Market,UK,Insurance,50k-250k,true,Loss event impacting property and contents. Fire damage to warehouse.,Client requested urgent callback.,Rejected
C-00141,2024-11-12T22:55:41+00:00,SMB,EU,Insurance,50k-250k,false,Business interruption may apply. Water ingress noted. flood zone 3. Evidence not yet supplied.,"Potential conflict in dates, needs review.",Accepted
C-00142,2024-12-29T16:57:13+00:00,Mid-Market,US,Insurance,250k-1m,true,Business interruption may apply. Water ingress noted. ip infringement.,Caller sounded uncertain; follow-up likely required.,Escalated
C-00143,2024-12-24T06:04:33+00:00,Mid-Market,UK,Legal,250k-1m,false,Potential breach of contract raised. Governing law unclear. governing law unclear. No supporting documentation provided.,Handler flagged missing attachments.,Unknown
C-00144,2024-12-06T00:56:02+00:00,SMB,UK,Legal,250k-1m,true,Dispute escalated to legal threat. Governing law unclear. data protection incident.,,Unknown
C-00145,2024-10-20T13:57:19+00:00,SMB,US,Insurance,50k-250k,false,Incident reported at commercial premises. Fire damage to warehouse. No policy documents attached.,Client requested urgent callback.,Accepted
C-00146,2024-10-20T17:19:30+00:00,Mid-Market,Other,Advisory,50k-250k,true,Strategic risk review requested following acquisition. No immediate dispute. business interruption. Loss adjuster appointed.,Handler flagged missing attachments.,Accepted
C-00147,2024-10-20T10:36:15+00:00,SMB,UK,Legal,<50k,true,IP infringement allegation received. Evidence currently limited. small crack.,,Rejected
C-00148,2024-12-21T21:46:08+00:00,SMB,UK,Advisory,50k-250k,false,Client seeks decision support on risk controls. Timeline not specified.,Caller sounded uncertain; follow-up likely required. Clarify scope and deliverables.,Rejected
C-00149,2024-11-06T21:59:30+00:00,SMB,US,Legal,<50k,true,IP infringement allegation received. Evidence currently limited. minor. Supporting documents attached.,Handler flagged missing attachments. Consider limitation periods.,Unknown
C-00150,2024-10-04T10:17:17+00:00,Mid-Market,UK,Insurance,Unknown,false,Client reports storm-related damage. Roof compromised. Evidence not yet supplied. Cross-border considerations likely.,,Unknown
C-00151,2024-12-17T17:45:41+00:00,SMB,EU,Insurance,>1m,true,Incident reported at commercial premises. Fire damage to warehouse. injunction.,,Settled
C-00152,2024-10-05T01:17:59+00:00,Enterprise,EU,Insurance,<50k,false,Incident reported at commercial premises. Fire damage to warehouse. minor.,Client requested urgent callback.,Unknown
C-00153,2024-10-10T02:04:52+00:00,SMB,UK,Legal,<50k,true,Dispute escalated to legal threat. Time-sensitive response required. minor. Loss adjuster appointed. Overseas elements present.,,Unknown
