case_id,received_at,client_segment,jurisdiction,service_line,claim_value_band,attachments_present,free_text_summary,handler_notes,historical_outcome
C-04003,2024-11-06T01:52:10+00:00,SMB,UK,Insurance,250k-1m,True,Client reports storm-related damage. Theft of equipment reported. suspected arson. Cross-border considerations likely.,No additional notes. Check coverage exclusions.,Rejected
C-04146,2024-10-09T05:57:08+00:00,Enterprise,Other,Legal,50k-250k,False,Dispute escalated to legal threat. Time-sensitive response required. flood zone 3. Overseas elements present.,,Unknown
C-04216,2024-10-11T17:51:56+00:00,Enterprise,US,Insurance,250k-1m,True,Loss event impacting property and contents. Fire damage to warehouse. regulator visit.,"Potential conflict in dates, needs review.",Unknown
C-04571,2024-10-23T03:45:37+00:00,Mid-Market,US,Insurance,>1m,True,Damage reported following heavy rainfall. Roof compromised. Loss adjuster appointed.,Caller sounded uncertain; follow-up likely required. Check coverage exclusions.,Unknown
C-04580,2024-11-09T07:43:03+00:00,Enterprise,EU,Advisory,50k-250k,False,Client seeks decision support on risk controls. Scope unclear.,No additional notes.,Rejected
C-04657,2024-10-30T21:06:14+00:00,Enterprise,UK,Advisory,>1m,False,Request for compliance gap analysis. Scope unclear. Evidence not yet supplied.,Client requested urgent callback.,Escalated
C-04968,2024-10-16T10:53:33+00:00,SMB,UK,Insurance,250k-1m,False,Business interruption may apply. Roof compromised. ip infringement. No supporting documentation provided.,"Potential conflict in dates, needs review. Check coverage exclusions.",Unknown
C-05023,2024-10-14T00:58:17+00:00,SMB,Other,Legal,50k-250k,True,Dispute escalated to legal threat. Governing law unclear. business interruption.,,Unknown
C-05030,2024-10-07T10:42:17+00:00,SMB,UK,Insurance,>1m,True,Business interruption may apply. Fire damage to warehouse.,,Settled
C-05062,2024-11-19T22:47:36+00:00,Enterprise,EU,Legal,50k-250k,True,Formal letter received from counterparty. Multiple parties named. breach of contract. Supporting documents attached. Overseas elements present.,,Rejected
C-05122,2024-11-24T11:06:23+00:00,Mid-Market,UK,Insurance,>1m,True,Damage reported following heavy rainfall. Theft of equipment reported.,Client requested urgent callback.,Accepted
C-05369,2024-12-25T21:17:31+00:00,Mid-Market,UK,Insurance,<50k,True,Client reports storm-related damage. Water ingress noted. Police reference number provided.,,Unknown
C-05409,2024-11-07T04:03:49+00:00,Enterprise,UK,Legal,<50k,True,Employment dispute raised by former contractor. Jurisdiction disputed. low value.,Client requested urgent callback.,Unknown
C-05523,2024-12-01T20:47:58+00:00,Mid-Market,UK,Insurance,250k-1m,True,Client reports storm-related damage. Fire damage to warehouse.,Handler flagged missing attachments. Check coverage exclusions.,Accepted
C-05550,2024-11-06T05:17:56+00:00,Enterprise,UK,Insurance,<50k,True,Business interruption may apply. Water ingress noted.,Duplicate of earlier report suspected.,Unknown
C-05609,2024-12-06T18:02:24+00:00,Mid-Market,EU,Legal,250k-1m,True,Employment dispute raised by former contractor. Time-sensitive response required. Loss adjuster appointed.,Caller sounded uncertain; follow-up likely required. Consider limitation periods.,Escalated
C-05843,2024-10-08T18:01:39+00:00,,UK,Insurance,50k-250k,False,Loss event impacting property and contents. Fire damage to warehouse. storm damage.,,Unknown
C-06138,2024-10-15T06:21:01+00:00,SMB,US,Legal,250k-1m,True,IP infringement allegation received. Governing law unclear. Cross-border considerations likely. Conflicting information reported by client.,Handler flagged missing attachments. Consider limitation periods.,Accepted
C-06198,2024-11-03T21:27:03+00:00,SMB,UK,Insurance,250k-1m,True,Client reports storm-related damage. Basement affected. suspected arson. Loss adjuster appointed.,No additional notes.,Accepted
C-06376,2024-10-16T19:47:29+00:00,SMB,EU,Advisory,50k-250k,False,Strategic risk review requested following acquisition. Regulator engagement anticipated. Evidence not yet supplied. Cross-border considerations likely.,Duplicate of earlier report suspected.,Unknown
C-06398,2024-11-08T13:51:08+00:00,SMB,UK,Insurance,50k-250k,False,Damage reported following heavy rainfall. Water ingress noted. storm damage.,Caller sounded uncertain; follow-up likely required.,Escalated
C-06638,2024-11-05T23:35:23+00:00,SMB,UK,Legal,<50k,True,Employment dispute raised by former contractor. Governing law unclear. Policy schedule attached.,,Accepted
C-06679,2024-10-12T10:53:03+00:00,Mid-Market,UK,Advisory,250k-1m,False,Client seeks decision support on risk controls. No immediate dispute. injunction.,"Potential conflict in dates, needs review.",Unknown
C-06884,2024-10-30T10:50:02+00:00,Mid-Market,US,Insurance,<50k,True,Business interruption may apply. Water ingress noted. small crack. Loss adjuster appointed.,,Unknown
C-06945,2024-10-14T23:28:57+00:00,Enterprise,US,Insurance,<50k,False,Business interruption may apply. Theft of equipment reported. small crack. No supporting documentation provided.,Client requested urgent callback. Check coverage exclusions.,Unknown
C-06982,2024-10-28T01:13:21+00:00,Mid-Market,EU,Advisory,>1m,True,Client seeks decision support on risk controls. Scope unclear. Policy schedule attached.,No additional notes.,Unknown
C-07018,2024-10-05T05:24:27+00:00,SMB,UK,Advisory,>1m,False,Client requesting advice on regulatory exposure. Regulator engagement anticipated. No policy documents attached.,"Potential conflict in dates, needs review.",Accepted
C-07101,2024-12-19T06:46:24+00:00,Enterprise,UK,Legal,250k-1m,True,Dispute escalated to legal threat. Evidence currently limited. flood zone 3.,,Accepted
C-07116,2024-12-27T03:42:25+00:00,Mid-Market,UK,Insurance,<50k,False,Loss event impacting property and contents. Roof compromised. minor.,,Rejected
C-07183,2024-10-27T20:53:34+00:00,SMB,Other,Insurance,<50k,False,Loss event impacting property and contents. Basement affected. No supporting documentation provided.,Duplicate of earlier report suspected.,Accepted
C-07290,2024-10-01T20:21:24+00:00,Enterprise,UK,Insurance,50k-250k,True,Damage reported following heavy rainfall. Water ingress noted.,,Accepted
C-07452,2024-12-05T13:30:22+00:00,SMB,UK,Legal,50k-250k,True,Formal letter received from counterparty. Multiple parties named. Loss adjuster appointed.,Client requested urgent callback.,Rejected
C-07499,2024-11-24T06:05:45+00:00,Enterprise,EU,Insurance,50k-250k,True,Incident reported at commercial premises. Fire damage to warehouse. flood zone.,"Potential conflict in dates, needs review. Check coverage exclusions.",Unknown
C-07565,2024-10-31T09:25:35+00:00,SMB,EU,Legal,<50k,True,Employment dispute raised by former contractor. Multiple parties named. Overseas elements present.,,Rejected
C-07583,2024-11-05T00:59:25+00:00,Enterprise,EU,Insurance,250k-1m,True,Business interruption may apply. Basement affected. storm damage. Policy schedule attached. Jurisdiction noted as EU.,Caller sounded uncertain; follow-up likely required. Check coverage exclusions.,Rejected
C-07881,2024-11-24T18:21:10+00:00,SMB,EU,Advisory,50k-250k,True,Operational risk assessment requested. Timeline not specified. ip infringement. Police reference number provided.,Duplicate of earlier report suspected.,Unknown
C-07976,2024-12-08T00:59:52+00:00,SMB,UK,Insurance,250k-1m,True,Business interruption may apply. Basement affected. Jurisdiction noted as UK.,Duplicate of earlier report suspected. Check coverage exclusions.,Rejected
C-08066,2024-12-23T04:45:42+00:00,Enterprise,UK,Legal,>1m,True,Formal letter received from counterparty. Time-sensitive response required. data protection incident. Policy schedule attached. Overseas elements present.,No additional notes. Consider limitation periods.,Accepted
C-08131,2024-11-05T21:38:00+00:00,Enterprise,Other,Insurance,50k-250k,True,Client reports storm-related damage. Basement affected. governing law unclear. Policy schedule attached. Overseas elements present.,Handler flagged missing attachments.,Escalated
C-08249,2024-11-11T06:17:11+00:00,SMB,Other,Insurance,250k-1m,True,Client reports storm-related damage. Basement affected.,Handler flagged missing attachments.,Settled
C-08251,2024-12-05T06:30:29+00:00,Enterprise,UK,Insurance,250k-1m,True,Damage reported following heavy rainfall. Basement affected. suspected arson.,Handler flagged missing attachments. Check coverage exclusions.,Unknown
C-08253,2024-12-14T19:21:26+00:00,Mid-Market,US,Insurance,250k-1m,True,Damage reported following heavy rainfall. Fire damage to warehouse. breach of contract.,Caller sounded uncertain; follow-up likely required. Check coverage exclusions.,Accepted
C-08279,2024-11-16T02:47:47+00:00,SMB,US,Insurance,>1m,False,Business interruption may apply. Theft of equipment reported. governing law unclear.,,Unknown
C-08305,2024-10-30T01:42:27+00:00,SMB,UK,Insurance,50k-250k,True,Incident reported at commercial premises. Theft of equipment reported. governing law unclear. Cross-border considerations likely.,Duplicate of earlier report suspected.,Rejected
C-08355,2024-11-25T17:08:45+00:00,Enterprise,UK,Insurance,Unknown,False,Damage reported following heavy rainfall ..  Fire damage to warehouse ..  No policy documents attached .. ,,Escalated
C-08388,2024-11-07T13:22:54+00:00,SMB,UK,Insurance,<50k,False,Damage reported following heavy rainfall. Fire damage to warehouse. No supporting documentation provided.,"Potential conflict in dates, needs review.",Unknown
C-08426,2024-11-09T12:52:46+00:00,SMB,EU,Insurance,250k-1m,True,Damage reported following heavy rainfall. Water ingress noted. subsidence. Police reference number provided.,No additional notes.,Accepted
C-08557,2024-12-20T20:10:36+00:00,Mid-Market,UK,Advisory,<50k,False,Operational risk assessment requested. No immediate dispute. minor. No policy documents attached.,Duplicate of earlier report suspected.,Unknown
C-08587,2024-10-14T02:26:44+00:00,Mid-Market,UK,Legal,50k-250k,True,Dispute escalated to legal threat. Evidence currently limited. Police reference number provided.,,Accepted
C-08588,2024-12-12T02:48:23+00:00,,EU,Legal,250k-1m,True,IP infringement allegation received. Jurisdiction disputed. Supporting documents attached.,,Escalated
C-08681,2024-10-14T11:36:53+00:00,Mid-Market,UK,Advisory,>1m,True,Request for compliance gap analysis. Regulator engagement anticipated. subsidence.,"Potential conflict in dates, needs review. Clarify scope and deliverables.",Escalated
C-08799,2024-10-17T08:14:16+00:00,SMB,EU,Insurance,50k-250k,False,Incident reported at commercial premises. Fire damage to warehouse. storm damage. No policy documents attached. Conflicting information reported by client.,,Unknown
C-08816,2024-12-22T04:58:36+00:00,Enterprise,US,Insurance,<50k,True,Damage reported following heavy rainfall. Basement affected. low value.,,Rejected
C-08943,2024-10-09T01:32:35+00:00,Mid-Market,Other,Insurance,250k-1m,True,Damage reported following heavy rainfall. Fire damage to warehouse. regulator visit.,Duplicate of earlier report suspected.,Rejected
C-09129,2024-10-24T15:26:34+00:00,Mid-Market,EU,Insurance,Unknown,True,Client reports storm-related damage. Roof compromised. low value. Cross-border considerations likely. Conflicting information reported by client.,,Unknown
C-09160,2024-12-17T11:36:00+00:00,Enterprise,EU,Legal,>1m,True,Potential breach of contract raised. Jurisdiction disputed. Cross-border considerations likely.,Caller sounded uncertain; follow-up likely required. Consider limitation periods.,Settled
C-09247,2024-12-26T20:35:12+00:00,SMB,UK,Legal,250k-1m,True,Dispute escalated to legal threat. Time-sensitive response required. prior losses. Police reference number provided.,Client requested urgent callback. Consider limitation periods.,Accepted
C-09319,2024-10-01T06:58:20+00:00,Mid-Market,EU,Insurance,<50k,False,Incident reported at commercial premises. Basement affected. no supporting documentation. No policy documents attached.,,Rejected
C-09460,2024-11-03T14:14:44+00:00,Mid-Market,UK,Insurance,>1m,False,Incident reported at commercial premises. Roof compromised. fire. Evidence not yet supplied.,,Escalated
C-09468,2024-10-31T10:22:00+00:00,SMB,UK,Legal,>1m,True,Dispute escalated to legal threat. Multiple parties named. fire.,Client requested urgent callback.,Accepted
C-09634,2024-10-31T14:19:32+00:00,SMB,EU,Advisory,250k-1m,True,Client seeks decision support on risk controls. Regulator engagement anticipated. subsidence. Jurisdiction noted as EU.,"Potential conflict in dates, needs review.",Accepted
C-09826,2024-11-17T06:26:34+00:00,Enterprise,UK,Legal,<50k,True,Potential breach of contract raised. Multiple parties named. no supporting documentation.,,Unknown
C-09848,2024-11-20T05:21:08+00:00,SMB,US,Legal,>1m,True,Formal letter received from counterparty. Jurisdiction disputed. flood zone 3. Police reference number provided. Cross-border considerations likely.,,Unknown
C-09875,2024-12-19T17:49:53+00:00,Mid-Market,UK,Legal,>1m,False,Employment dispute raised by former contractor. Jurisdiction disputed. subsidence. Evidence not yet supplied.,No additional notes.,Escalated
C-09887,2024-10-08T09:00:54+00:00,SMB,UK,Insurance,250k-1m,True,Business interruption may apply. Basement affected. injunction.,Client requested urgent callback.,Unknown
C-10102,2024-11-11T06:06:35+00:00,Mid-Market,US,Legal,250k-1m,True,Employment dispute raised by former contractor. Jurisdiction disputed. fire. Supporting documents attached.,Client requested urgent callback.,Unknown
C-10116,2024-11-18T18:03:49+00:00,Enterprise,US,Insurance,50k-250k,False,Damage reported following heavy rainfall. Fire damage to warehouse. breach of contract. No policy documents attached. Overseas elements present.,Duplicate of earlier report suspected.,Accepted
C-10144,2024-11-18T03:03:23+00:00,SMB,US,Insurance,>1m,False,Incident reported at commercial premises. Water ingress noted. class action.,No additional notes. Check coverage exclusions.,Escalated
C-10205,2024-11-01T00:44:41+00:00,Mid-Market,UK,Advisory,250k-1m,True,Client requesting advice on regulatory exposure. Timeline not specified. suspected arson.,,Unknown
C-10237,2024-12-02T05:10:19+00:00,Mid-Market,,Legal,50k-250k,True,Potential breach of contract raised. Jurisdiction disputed. Jurisdiction noted as UK.,Duplicate of earlier report suspected.,Settled
C-10304,2024-11-22T18:00:11+00:00,SMB,UK,Insurance,250k-1m,False,Loss event impacting property and contents. Basement affected. No policy documents attached.,No additional notes.,Accepted
C-10343,2024-11-29T14:06:29+00:00,Mid-Market,US,Legal,250k-1m,False,Formal letter received from counterparty. Evidence currently limited. fire.,Duplicate of earlier report suspected. Consider limitation periods.,Unknown
C-10582,2024-11-04T18:02:06+00:00,Mid-Market,UK,Insurance,<50k,True,Damage reported following heavy rainfall. Roof compromised. wear and tear. Jurisdiction noted as UK.,Handler flagged missing attachments.,Settled
C-10593,2024-10-18T04:22:35+00:00,Mid-Market,UK,Insurance,<50k,False,Business interruption may apply. Basement affected.,Handler flagged missing attachments. Check coverage exclusions.,Unknown
C-10731,2024-10-03T00:22:20+00:00,SMB,UK,Legal,250k-1m,True,IP infringement allegation received. Jurisdiction disputed. major fire. Jurisdiction noted as UK.,Handler flagged missing attachments.,Escalated
C-10838,2024-11-18T01:05:02+00:00,Mid-Market,UK,Advisory,250k-1m,False,Client seeks decision support on risk controls. Regulator engagement anticipated. arson. Evidence not yet supplied.,Client requested urgent callback. Clarify scope and deliverables.,Accepted
C-10852,2024-11-19T16:58:19+00:00,SMB,EU,Advisory,250k-1m,True,Client seeks decision support on risk controls. Scope unclear. subsidence. Loss adjuster appointed. Cross-border considerations likely.,,Accepted
C-10974,2024-12-29T14:26:12+00:00,SMB,US,Legal,<50k,True,Formal letter received from counterparty. Evidence currently limited. no supporting documentation. Police reference number provided.,Handler flagged missing attachments.,Accepted
C-10975,2024-10-23T07:50:56+00:00,Mid-Market,UK,Insurance,>1m,True,Damage reported following heavy rainfall. Basement affected. Police reference number provided.,,Unknown
C-11036,2024-10-15T21:05:45+00:00,Enterprise,UK,Insurance,Unknown,True,Client reports storm-related damage. Fire damage to warehouse. no supporting documentation. Police reference number provided.,Client requested urgent callback.,Rejected
C-11242,2024-11-02T09:29:20+00:00,Mid-Market,UK,Advisory,>1m,True,Operational risk assessment requested. Regulator engagement anticipated. fire. Policy schedule attached.,,Unknown
C-11306,2024-10-12T05:51:00+00:00,SMB,US,Legal,50k-250k,False,Potential breach of contract raised. Governing law unclear. ip infringement.,,Unknown
C-11652,2024-12-12T21:48:05+00:00,Mid-Market,Other,Insurance,250k-1m,False,Client reports storm-related damage. Basement affected. major fire.,"Potential conflict in dates, needs review.",Unknown
C-11694,2024-11-08T00:12:45+00:00,SMB,Other,Insurance,<50k,True,Incident reported at commercial premises. Fire damage to warehouse. no supporting documentation. Policy schedule attached. Jurisdiction noted as Other.,,Accepted
C-11833,2024-10-13T08:31:38+00:00,Mid-Market,EU,Legal,<50k,True,Formal letter received from counterparty. Time-sensitive response required. Policy schedule attached. Overseas elements present.,No additional notes.,Unknown
C-11851,2024-10-02T15:22:29+00:00,Enterprise,US,Insurance,<50k,True,Business interruption may apply. Water ingress noted. Police reference number provided.,"Potential conflict in dates, needs review.",Unknown
C-11894,2024-10-09T17:27:42+00:00,SMB,Other,Insurance,<50k,False,Client reports storm-related damage. Fire damage to warehouse.,Client requested urgent callback.,Unknown
C-11926,2024-11-22T00:39:24+00:00,Enterprise,Other,Insurance,250k-1m,False,Loss event impacting property and contents. Water ingress noted. governing law unclear. Evidence not yet supplied.,Client requested urgent callback.,Escalated
C-12029,2024-11-24T10:33:52+00:00,Enterprise,UK,,<50k,True,Formal letter received from counterparty. Time-sensitive response required. Police reference number provided.,,Unknown
C-12035,2024-10-15T23:29:21+00:00,SMB,UK,Insurance,250k-1m,True,Business interruption may apply. Basement affected. Overseas elements present.,No additional notes.,Unknown
C-12168,2024-12-21T10:31:37+00:00,Enterprise,UK,Insurance,250k-1m,True,Incident reported at commercial premises. Basement affected. Jurisdiction noted as UK.,"Potential conflict in dates, needs review.",Unknown
C-12663,2024-10-04T03:43:57+00:00,Mid-Market,US,Insurance,>1m,True,Loss event impacting property and contents. Basement affected. subsidence. Police reference number provided. Overseas elements present.,Duplicate of earlier report suspected. Check coverage exclusions.,Escalated
C-12773,2024-11-03T03:21:38+00:00,Mid-Market,UK,Insurance,50k-250k,False,Damage reported following heavy rainfall. Water ingress noted. ip infringement. No policy documents attached. Conflicting information reported by client.,,Rejected
C-12788,2024-11-08T21:32:42+00:00,SMB,UK,Legal,250k-1m,True,Employment dispute raised by former contractor. Evidence currently limited. Policy schedule attached.,Caller sounded uncertain; follow-up likely required.,Unknown
C-12806,2024-12-19T07:56:05+00:00,Mid-Market,UK,Legal,50k-250k,True,Employment dispute raised by former contractor. Governing law unclear. Police reference number provided. Cross-border considerations likely.,Handler flagged missing attachments.,Accepted
C-12901,2024-10-01T21:43:30+00:00,SMB,US,Insurance,<50k,True,Loss event impacting property and contents. Water ingress noted. minor.,,Settled
C-12980,2024-12-17T17:38:10+00:00,SMB,UK,Legal,250k-1m,True,Employment dispute raised by former contractor. Evidence currently limited. injunction.,,Escalated
C-13156,2024-12-26T20:56:49+00:00,Mid-Market,Other,Insurance,50k-250k,False,Client reports storm-related damage. Theft of equipment reported. breach of contract.,Duplicate of earlier report suspected. Check coverage exclusions.,Escalated
C-13167,2024-12-18T07:09:21+00:00,Enterprise,UK,Legal,>1m,True,Employment dispute raised by former contractor. Multiple parties named.,Handler flagged missing attachments.,Unknown
C-13199,2024-12-02T15:44:26+00:00,SMB,EU,Insurance,<50k,False,Business interruption may apply. Roof compromised. minor. Evidence not yet supplied.,,Unknown
C-13405,2024-12-29T17:11:18+00:00,Enterprise,US,Legal,250k-1m,True,potential breach of contract raised. govening law unclear.,,Settled
C-13440,2024-10-17T07:45:40+00:00,Enterprise,US,Legal,250k-1m,True,Potential breach of contract raised. Jurisdiction disputed. hurricane.,No additional notes.,Unknown
C-14225,2024-12-26T14:29:23+00:00,SMB,UK,Advisory,50k-250k,False,Client seeks decision support on risk controls. Stakeholders across multiple regions. No supporting documentation provided.,Duplicate of earlier report suspected.,Rejected
C-14236,2024-12-27T22:52:25+00:00,Mid-Market,EU,Legal,250k-1m,True,Employment dispute raised by former contractor. Governing law unclear.,Caller sounded uncertain; follow-up likely required.,Escalated
C-14241,2024-11-03T15:23:23+00:00,Mid-Market,EU,Advisory,250k-1m,False,Client requesting advice on regulatory exposure. Regulator engagement anticipated.,,Unknown
C-14273,2024-11-09T21:26:48+00:00,SMB,Other,Insurance,<50k,True,Loss event impacting property and contents. Theft of equipment reported.,Caller sounded uncertain; follow-up likely required.,Settled
